case,time_ipopt,time_knitro
pglib_opf_case500_tamu,4.704520225524902,6.938570976257324
pglib_opf_case3375wp_k,11.643946647644045,176.8401370048523
pglib_opf_case6515_rte,66.49756622314453,694.5689101219177
pglib_opf_case118_ieee,4.179259777069092,4.7439048290252686
pglib_opf_case30_as,4.0918850898742685,4.2866249084472665
pglib_opf_case1888_rte,20.56297874450684,163.97888088226318
pglib_opf_case4661_sdet,14.570635795593262,176.79715776443481
pglib_opf_case10000_tamu,23.71286964416504,1555.3835818767548
pglib_opf_case2868_rte,11.797567367553713,47.21711492538452
pglib_opf_case3012wp_k,12.32786464691162,62.508999824523926
pglib_opf_case162_ieee_dtc,4.18389892578125,5.194092035293579
pglib_opf_case1951_rte,12.796717643737793,176.23049998283386
pglib_opf_case73_ieee_rts,4.036795139312743,4.581331014633179
pglib_opf_case5_pjm,3.995075941085816,4.3500940799713135
pglib_opf_case240_pserc,4.417795181274414,10.50227189064026
pglib_opf_case89_pegase,4.141058921813965,4.85699200630188
pglib_opf_case2316_sdet,8.368260383605957,21.539340019226074
pglib_opf_case2737sop_k,8.185212135314941,122.45363998413086
pglib_opf_case200_tamu,4.214913845062257,5.233784914016724
pglib_opf_case588_sdet,4.797659873962402,6.642213821411133
pglib_opf_case2848_rte,11.971386909484865,53.93445110321045
pglib_opf_case2869_pegase,11.682092666625975,43.43354511260986
pglib_opf_case2000_tamu,7.479452133178711,20.767833232879642
pglib_opf_case9241_pegase,16340.4482421875,2113.852939128876
pglib_opf_case1354_pegase,6.8986449241638175,14.403519868850708
pglib_opf_case30_ieee,4.0319180488586435,4.321089029312134
pglib_opf_case300_ieee,4.256552219390868,5.810309886932372
pglib_opf_case3_lmbd,3.9516661167144775,4.287867069244385
pglib_opf_case39_epri,3.983776092529297,4.471004009246826
pglib_opf_case179_goc,4.279084205627441,4.871701955795288
pglib_opf_case2383wp_k,17.138212203979492,202.00758481025696
pglib_opf_case3120sp_k,12.382928848266602,90.20187187194824
pglib_opf_case2853_sdet,10.139508247375488,102.7772331237793
pglib_opf_case6470_rte,34.58620834350586,479.6269118785858
pglib_opf_case30_fsr,3.9891879558563232,4.3003289699554434
pglib_opf_case2746wop_k,8.604701042175293,91.50552201271057
pglib_opf_case24_ieee_rts,3.980470895767212,4.3287200927734375
pglib_opf_case2746wp_k,8.12355899810791,89.29423594474792
pglib_opf_case13659_pegase,2174.912841796875,2836.653230905533
pglib_opf_case14_ieee,4.052708148956299,4.250596046447754
pglib_opf_case2736sp_k,9.350072860717773,103.0289261341095
pglib_opf_case6495_rte,108.6689453125,713.5566189289093
pglib_opf_case6468_rte,46.58733367919922,458.2925860881805
pglib_opf_case57_ieee,3.999496936798096,4.389096021652222
