case,iterations_ipopt,iterations_knitro
case7_tplgy,6,0
case3_oltc_pst,10,15
case5_db,8,20
case5_dc,9,26
case5_ext,12,23
case14,7,11
case5_sw_nb,0,0
case5_asym,13,21
case5_pwlc,12,24
case5_gap,21,27
case5_npg,14,27
case5_tnep,76,59
case5_uc,11,22
case30,12,18
case24,19,31
case5_clm,8,17
case2,0,0
case3,9,13
case5_uc_strg,0,0
case5_strg,0,0
case3_tnep,0,21
case5,12,23
case5_sw,0,0
case6,10,0
