case,time_ipopt,time_knitro
case7_tplgy,1.295078992843628,0.008069000206887722
case9,1.2938621044158936,0.015456000342965124
case3_oltc_pst,1.221081018447876,0.00837200041860342
case5_db,1.3110530376434326,0.011152000166475771
case5_dc,1.3600199222564695,0.012582999654114245
case5_ext,1.325584888458252,0.012481000274419785
case14,1.3752260208129885,0.02281500026583672
case5_sw_nb,,
frankenstein_00,1.2935888767242432,0.0076190000399947175
case5_asym,1.4656419754028318,0.01360000018030405
case5_pwlc,1.2945330142974854,0.0145650003105402
case5_gap,1.4528908729553225,0.010398999787867071
case5_npg,1.2841880321502686,0.013619000092148779
case5_tnep,1.4994080066680908,0.06146499887108803
case5_uc,1.3095591068267822,0.01244799979031086
case30,1.543568134307861,0.058340001851320274
case24,1.6685960292816162,0.08123300224542618
case5_clm,1.3271398544311523,0.011241000145673752
case2,,
case3,1.2221031188964844,0.009336999617516994
case5_uc_strg,,
case5_strg,,
case3_tnep,1.2807800769805908,0.0
case5,1.3243038654327393,0.012342999689280987
case5_sw,,
case6,1.2381620407104492,0.01016599964350462
