case,time_ipopt,time_knitro
case7_tplgy,0.004922000225633383,1.103621006011963
case9,0.005253999959677458,1.1411020755767822
case3_oltc_pst,0.004997999873012304,1.1247642040252686
case5_db,0.005104999989271164,1.149393081665039
case5_dc,0.004891000222414732,1.133565902709961
case5_ext,0.005342999938875437,1.1179590225219729
case14,0.008561999537050724,1.11364483833313
case5_sw_nb,,
frankenstein_00,0.0049829999916255465,1.1660950183868408
case5_asym,0.005324000027030706,1.1055619716644287
case5_pwlc,0.005506999790668488,1.2123959064483645
case5_gap,0.004976000171154738,1.1710150241851809
case5_npg,0.005125999916344881,1.1265981197357178
case5_tnep,0.0,1.1815071105957031
case5_uc,0.0052490001544356355,1.201702117919922
case30,0.006779000163078308,1.1194109916687012
case24,0.01775999926030636,1.224303960800171
case5_clm,0.005059999879449606,1.0989260673522951
case2,,
case3,0.005255999974906445,1.1915349960327148
case5_uc_strg,,
case5_strg,,
case3_tnep,0.0,1.132627010345459
case5,0.005065999925136565,1.1100311279296875
case5_sw,,
case6,0.004482999909669161,1.1146790981292725
