case,time_ipopt,time_knitro
pglib_opf_case500_tamu,0.5695189833641052,3.6704421043396
pglib_opf_case3375wp_k,7.073231220245361,25.6869158744812
pglib_opf_case6515_rte,39.5446662902832,127.24141407012941
pglib_opf_case118_ieee,0.08029100298881531,1.5568561553955078
pglib_opf_case30_as,0.013856999576091766,1.2128300666809082
pglib_opf_case1888_rte,14.69856071472168,85.59784197807313
pglib_opf_case4661_sdet,9.210307121276855,39.861191034317024
pglib_opf_case10000_tamu,46.93405532836914,200.43348288536072
pglib_opf_case2868_rte,30.070545196533203,36.51406812667847
pglib_opf_case3012wp_k,4.416112899780273,22.21162509918213
pglib_opf_case162_ieee_dtc,0.21786099672317505,1.7776100635528564
pglib_opf_case1951_rte,7.2397780418396,22.74125909805298
pglib_opf_case73_ieee_rts,0.04499199986457825,1.4091250896453855
pglib_opf_case5_pjm,0.007122999988496304,1.164781093597412
pglib_opf_case240_pserc,0.4138250052928925,7.320434093475343
pglib_opf_case89_pegase,0.1185460016131401,1.5990171432495115
pglib_opf_case2316_sdet,3.035521984100342,16.66837501525879
pglib_opf_case2737sop_k,2.5375730991363525,12.613976001739502
pglib_opf_case200_tamu,0.09840399771928787,1.5481879711151123
pglib_opf_case588_sdet,0.4591110050678253,3.153269052505493
pglib_opf_case2848_rte,34.795249938964844,33.51958608627319
pglib_opf_case2869_pegase,8.297304153442383,29.274553060531613
pglib_opf_case2000_tamu,3.123609066009521,21.24015283584595
pglib_opf_case9241_pegase,58.71631622314453,122.01377892494202
pglib_opf_case1354_pegase,2.7433478832244877,10.278252124786377
pglib_opf_case30_ieee,0.01810899935662746,1.1975030899047852
pglib_opf_case300_ieee,0.3414750099182129,2.427525043487549
pglib_opf_case3_lmbd,0.005934000015258789,1.1245670318603516
pglib_opf_case39_epri,0.025520000606775284,1.2701618671417236
pglib_opf_case179_goc,0.3541019856929779,2.049367904663086
pglib_opf_case2383wp_k,3.857079029083252,17.240609884262085
pglib_opf_case3120sp_k,3.8784410953521733,22.10167121887207
pglib_opf_case2853_sdet,4.459971904754639,19.69429612159729
pglib_opf_case6470_rte,33.97173309326172,83.34666895866394
pglib_opf_case30_fsr,0.01961000077426434,1.226789951324463
pglib_opf_case2746wop_k,2.506643056869507,12.852519989013672
pglib_opf_case24_ieee_rts,0.01667100004851818,1.1848959922790527
pglib_opf_case2746wp_k,3.348762989044189,14.683101892471313
pglib_opf_case13659_pegase,478.3509521484375,243.71583795547485
pglib_opf_case14_ieee,0.008569000288844109,1.1520090103149414
pglib_opf_case2736sp_k,3.0110421180725098,14.55859088897705
pglib_opf_case6495_rte,81.49943542480469,166.98978495597842
pglib_opf_case6468_rte,67.15768432617189,153.6342840194702
pglib_opf_case57_ieee,0.028340000659227368,1.2548720836639404
