case,iterations_ipopt,iterations_knitro
case7_tplgy,2.0,5.0
case9,5.0,9.0
case3_oltc_pst,6.0,9.0
case5_db,6.0,18.0
case5_dc,6.0,18.0
case5_ext,6.0,14.0
case14,6.0,9.0
case5_sw_nb,,
frankenstein_00,2.0,6.0
case5_asym,6.0,16.0
case5_pwlc,7.0,18.0
case5_gap,6.0,20.0
case5_npg,7.0,18.0
case5_tnep,0.0,25.0
case5_uc,6.0,15.0
case30,5.0,8.0
case24,33.0,39.0
case5_clm,6.0,15.0
case2,,
case3,6.0,9.0
case5_uc_strg,,
case5_strg,,
case3_tnep,0.0,13.0
case5,6.0,14.0
case5_sw,,
case6,5.0,8.0
