case,time_ipopt,time_knitro
case7_tplgy,0.006326999980956316,1.250213861465454
case9,0.008359000086784363,1.2999320030212402
case3_oltc_pst,0.006647000089287758,1.2721199989318848
case5_db,0.007732999976724386,1.337836980819702
case5_dc,0.009228000417351723,1.3245558738708496
case5_ext,0.008945000357925892,1.2747068405151367
case14,0.012129000388085842,1.3702940940856934
case5_sw_nb,,
frankenstein_00,0.007015000097453593,1.2307031154632568
case5_asym,0.008980000391602516,1.3558287620544434
case5_pwlc,0.009317000396549702,1.315338134765625
case5_gap,0.007755999919027091,1.34031081199646
case5_npg,0.009340000338852406,1.2913751602172852
case5_tnep,0.02245000004768372,1.5176160335540771
case5_uc,0.008654999546706676,1.319572925567627
case30,0.03813600167632103,1.526550054550171
case24,0.02435100078582764,1.714000940322876
case5_clm,0.008427999913692473,1.2651360034942627
case2,,
case3,0.0068199997767806044,1.2357041835784912
case5_uc_strg,,
case5_strg,,
case3_tnep,0.0,1.262840986251831
case5,0.009026999585330486,1.3497982025146484
case5_sw,,
case6,0.007207000162452459,1.2739169597625732
