case,time_CONVEX,time_EXACT
pglib_opf_case500_tamu,1.6552081108093262,6.711249828338622
pglib_opf_case3375wp_k,5.79606819152832,28.6614191532135
pglib_opf_case6515_rte,10.216408014297484,123.15439105033876
pglib_opf_case118_ieee,1.1817231178283691,4.728399991989137
pglib_opf_case30_as,1.1806511878967283,4.302472114562988
pglib_opf_case1888_rte,2.8456850051879883,22.969132900238037
pglib_opf_case4661_sdet,6.708088874816895,46.513720989227295
pglib_opf_case10000_tamu,9.74587106704712,233.54279088974
pglib_opf_case2868_rte,3.8791019916534415,36.88900399208069
pglib_opf_case3012wp_k,5.300086975097656,24.81505298614502
pglib_opf_case162_ieee_dtc,1.392168045043945,4.875218152999878
pglib_opf_case1951_rte,3.0034089088439937,43.242559909820564
pglib_opf_case73_ieee_rts,1.2190959453582764,4.538516044616699
pglib_opf_case5_pjm,1.1142289638519287,4.220927000045776
pglib_opf_case240_pserc,1.6449649333953855,12.255239009857178
pglib_opf_case89_pegase,1.2473301887512207,4.726109027862549
pglib_opf_case2316_sdet,3.73550796508789,18.61202883720398
pglib_opf_case2737sop_k,2.345850944519043,14.906554937362671
pglib_opf_case200_tamu,1.195781946182251,4.625885009765625
pglib_opf_case588_sdet,1.5326240062713623,6.373172998428345
pglib_opf_case2848_rte,3.79112696647644,40.30531811714173
pglib_opf_case2869_pegase,4.655586004257202,34.17336106300354
pglib_opf_case2000_tamu,2.8141748905181885,27.64988112449646
pglib_opf_case9241_pegase,15.787913084030151,123.17909789085388
pglib_opf_case1354_pegase,2.6921029090881348,13.768916845321655
pglib_opf_case30_ieee,1.14851713180542,4.26868200302124
pglib_opf_case300_ieee,1.465372085571289,5.366795063018799
pglib_opf_case3_lmbd,1.13240385055542,4.259135961532594
pglib_opf_case39_epri,1.1538519859313965,4.4225897789001465
pglib_opf_case179_goc,1.2250988483428955,5.968013048171997
pglib_opf_case2383wp_k,5.146892070770264,20.192039012908932
pglib_opf_case3120sp_k,4.815802097320557,24.327259063720703
pglib_opf_case2853_sdet,4.2600369453430185,24.45933198928833
pglib_opf_case6470_rte,10.342089891433718,84.04880404472352
pglib_opf_case30_fsr,1.1052720546722412,4.341356039047241
pglib_opf_case2746wop_k,2.0753729343414307,16.115280151367188
pglib_opf_case24_ieee_rts,1.19303297996521,4.253852844238281
pglib_opf_case2746wp_k,2.653859853744507,17.374081134796146
pglib_opf_case13659_pegase,20.885789155960087,151.85125017166138
pglib_opf_case14_ieee,1.1856400966644287,4.264389991760254
pglib_opf_case2736sp_k,2.694809913635254,17.14039921760559
pglib_opf_case6495_rte,12.550666093826294,164.19011998176575
pglib_opf_case6468_rte,8.519285917282103,142.40923786163333
pglib_opf_case57_ieee,1.1181361675262451,4.325567960739137
